date,surface_pressure,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,imd_rainfall_mm,IMD_MaxTemp_C,IMD_MinTemp_C,chirps_rainfall_mm,LST_Celsius,NDVI,LST_was_missing,NDVI_was_missing
2016-07-21,99855.15153030008,297.94483540536464,0.0046231958879446,1.3666011520067738,-1.5162809157202437,0.4820012325191029,4.1317773,28.9504623413086,22.90432357788086,1.7414149,26.64628068210352,0.5117266571268642,1,1
2016-07-22,99812.0399185036,297.6855705755091,0.0081245411389925,1.87138681312008,-1.1021876096696803,0.4894581297324073,7.37048,29.47383499145508,23.054975509643555,0.07795244,26.794541190239926,0.5277406319514455,1,1
2016-07-23,99776.46054512594,297.1041845832254,0.0134791847473688,1.859875243505989,-1.1209797652986624,0.4920610730959569,22.092577,28.799461364746094,22.2417049407959,10.593005,26.942801698376332,0.5437546067760267,1,1
2016-07-24,99761.29885665064,297.04118612348816,0.0215902543195825,1.053155222453812,-0.970362847277516,0.4713133332648808,42.00028,29.33138084411621,22.235708236694336,26.632448,27.09106220651274,0.5597685816006079,1,1
2016-07-25,99726.45614384476,297.5535678973578,0.0181374422000124,1.0419597848130326,-0.6468552702363687,0.4811281633428663,12.727297,29.772537231445312,22.93377685546875,57.437027,27.23932271464915,0.5757825564251893,1,1
2016-07-26,99665.0748619266,297.5738739011839,0.0192273541203836,0.5873283705382926,-0.1292242035726498,0.4751189176043807,2.0479946,30.405458450317383,22.41431427001953,23.104456,27.387583222785555,0.5917965312497705,1,1
2016-07-27,99734.10278751716,297.1985308629616,0.0372534921312865,1.2529704975156148,-0.5939868112956839,0.4858161724735759,4.3574796,30.046112060546875,22.58761978149414,31.26004,27.53584373092196,0.6078105060743517,0,0
2016-07-28,99763.56512294894,298.1561249403846,0.012256791662684,1.6073171272345472,-1.0622140875887536,0.4646745838358337,18.436756,29.69440269470215,22.162065505981445,23.235584,27.53746708552236,0.6031391225808203,1,1
2016-07-29,99795.63581109508,297.69663931856604,0.0085951931066536,0.9734354907610276,-1.085370735374691,0.4795722872008066,7.4907203,29.28023147583008,22.87664031982422,14.995621,27.539090440122756,0.5984677390872888,1,1
2016-07-30,99909.62315569498,297.82065095109346,0.0065942578923123,0.9090726838431148,-0.3508256970725533,0.4870385955139226,8.101722,29.94938468933105,22.95122528076172,2.4163628,27.54071379472315,0.5937963555937572,1,1
