system:index,date,dewpoint_temperature_2m,potential_evaporation_sum,runoff_sum,surface_pressure,surface_runoff_sum,surface_solar_radiation_downwards_sum,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,.geo
20250206,2025-02-06,293.2440340780613,-0.018758286747193452,3.2115824120250197E-4,100025.81511479043,6.723470564057069E-7,2.0821495760908768E7,299.71724499531535,1.1739439365329415E-4,0.2311359177359108,-0.10897108072385665,0.2920292522890348,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250207,2025-02-07,291.2607875342037,-0.022900523208793735,3.102859794513181E-4,100144.2085874227,2.950945787811555E-8,2.3916354623873062E7,299.77123156521293,4.838920121923537E-6,0.03390331881051167,-0.1023823664242551,0.2862848190608428,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250208,2025-02-08,290.1577227097576,-0.024944896667690605,3.000218602581829E-4,100125.95833374423,0.0,2.4699653194374327E7,299.78198158180703,0.0,0.09855231079205198,0.06066786863150713,0.28089217059757593,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250209,2025-02-09,292.362040324715,-0.023258832472403734,2.902266574473404E-4,100079.37082780432,3.1102748283444015E-8,2.4208572842408948E7,300.275226731959,6.319199320301013E-6,0.2197991353500519,0.2141077963688838,0.27652464223633105,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250210,2025-02-10,292.4454888775883,-0.023218180801554196,2.8113753216128215E-4,100213.11466621027,3.6310362893237654E-7,2.3703127455463402E7,300.1125666960772,6.697507606826974E-5,0.07745745481815973,0.35715209510639057,0.2733661059161651,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250211,2025-02-11,293.1610713774861,-0.02200878312790433,2.719298316776387E-4,100235.55120854745,2.0428508616852237E-7,2.377350565957447E7,299.7873462698095,4.0219083535637496E-5,0.34302803839266144,-0.013021777120114004,0.2708062096160253,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250212,2025-02-12,293.111059299354,-0.022463931930793823,2.6300456005444483E-4,100209.89385749349,0.0,2.449256808077894E7,299.95331455936434,8.526257483276962E-7,0.2967343768874016,0.09548427485720386,0.2682805937748573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250213,2025-02-13,293.91362304173924,-0.020920548850003457,2.547018458341977E-4,100210.23896246076,4.584269965550463E-8,2.4001966980887126E7,299.8655504828993,8.254573412892722E-6,0.3186705163184633,0.05086413549250573,0.2662493515106359,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250214,2025-02-14,294.03870957745215,-0.020709892191473775,2.4707628809670615E-4,100223.85724209315,3.244482004982102E-7,2.349751009376127E7,300.02456682051354,6.350309744961215E-5,0.538938843784087,-0.24459187057904147,0.2648297370748317,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250215,2025-02-15,293.5891332338601,-0.024476100844819753,2.3931389008882115E-4,100079.46061409214,4.613583284812071E-7,2.4565985821853593E7,300.93570105934066,9.163135347503587E-5,0.34541461301231086,-0.0750866518640822,0.2636516636159361,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250216,2025-02-16,294.0228252990957,-0.024053517549026324,2.3191760764670557E-4,100136.67531139888,7.107821647500976E-7,2.4041425406058423E7,300.9757811198629,1.4217526278623955E-4,0.30177381551957844,0.24314834309506986,0.26298408127702305,"{""type"":""MultiPoint"",""coordinates"":[]}"
