system:index,date,surface_pressure,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,.geo
20230418,2023-04-18,100024.63410695305,302.7959965126835,9.668860903342298E-4,0.7906322107820618,-0.2489719803566285,0.3026759564582797,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230419,2023-04-19,99853.17475779045,302.6013048304748,0.0013475831108875629,0.7135268175941575,0.01893791482918308,0.3031706789935892,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230420,2023-04-20,99715.54570662322,302.5226815846523,0.0010856058955020609,0.8132061312327326,-0.06813901245113979,0.3051119037568104,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230421,2023-04-21,99765.21367502106,301.29532903076756,0.004229793359323654,0.4727646637054603,-0.12218443260325851,0.3207769978575186,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230422,2023-04-22,99748.89757844429,301.8998423795429,0.0029368623849333644,0.5154637644992796,-0.5454144779055833,0.3405454027808935,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230423,2023-04-23,99763.88044499038,302.1372473435071,0.0038276821229804355,0.35462299873800524,-0.599170123589327,0.3492855968949944,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230424,2023-04-24,99835.52714976399,302.16974365357277,0.0017888603093836417,0.2215497745661112,-0.06558641329567108,0.35086125005737423,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230425,2023-04-25,99928.27773178068,300.79325212803536,0.009556253615222162,0.03706458795957661,-0.07323302800214872,0.379987224877375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230426,2023-04-26,99888.86687154643,300.15019928553545,0.01906382718909057,-0.034559876031207276,-0.16860239166725663,0.43599349470261206,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230427,2023-04-27,99913.57484167689,300.97267899213466,0.0071423486858509634,0.018550030442008696,0.11169954450503898,0.4318085326671543,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230428,2023-04-28,99972.86969763777,300.4940409691865,0.006910801783311334,0.25970425441268263,-0.026878129162027774,0.44545914803234515,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230429,2023-04-29,99903.84669465463,299.35555218819144,0.011213127595390702,0.009436474724563356,-0.3008813329837201,0.45919897476344884,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230430,2023-04-30,99789.61619555949,299.51039342379295,0.024261253707283676,-0.20419875474084473,0.0031515416337802066,0.4708762559226992,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230501,2023-05-01,99849.30169313092,299.00541920437814,0.025479799286689968,0.17953458493225052,0.0699330424012896,0.4753811172832019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230502,2023-05-02,99908.72360904115,299.2535739641434,0.012845976453993418,-0.23636611010366543,0.04341001765116689,0.47611832850855546,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230503,2023-05-03,100021.49180504534,299.67321284239455,5.607456640564403E-4,-0.030059870396515607,-0.640376331170228,0.46402126797862847,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230504,2023-05-04,99951.62609659317,300.90678119602103,3.245963082554407E-4,0.5952853113717366,-0.3869023921326644,0.44745316489955994,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230505,2023-05-05,99902.63702020602,299.80995258010773,0.0017072106875054927,-0.24449367938183267,-0.0269678117621617,0.44041394253077454,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230506,2023-05-06,99908.86464484538,300.14486746289924,0.007552714621676133,0.18962781809602652,-0.21396594707288627,0.45110649861371194,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230507,2023-05-07,99889.90183932775,299.65227802385294,7.639189897943286E-4,-0.07055111713228297,-0.6194774483470823,0.46698810659014905,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230508,2023-05-08,99842.78953599022,300.4368661510671,0.0018321745411946592,0.3358083253354462,-0.693347258813709,0.44953798385090055,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230509,2023-05-09,99872.74588567729,299.4855604952438,0.014386988924711703,0.23347015371688332,-0.14972576233526452,0.4661303503121561,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230510,2023-05-10,99820.81074385442,300.16490020985816,0.00894269547671907,0.15802193398744477,0.05670151505308066,0.4740566861702567,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230511,2023-05-11,99986.00845949174,299.8536376120853,0.013634977935890061,-0.11908317434771984,0.37286032528699004,0.4615520368847285,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230512,2023-05-12,100041.81177341825,300.5844549951051,0.005050449650400354,-0.14092890834246624,0.6062418834451502,0.4601510648960134,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230513,2023-05-13,100118.92978587233,300.1573758914589,0.0077042596099377286,0.38443278269006004,0.8111048434729015,0.4704810874022778,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230514,2023-05-14,100006.26278728708,300.88530911779105,0.003557029387450502,0.8588027580381373,0.11776125706192221,0.4722841664967822,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230515,2023-05-15,100037.85526748584,300.7078333855937,0.0027036012717366513,0.6296072369628349,-0.482125677445113,0.47150601055605196,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230516,2023-05-16,100063.46893212966,302.08291426597987,3.6442759579514067E-4,0.9099681052698485,-1.0496162213389586,0.450117401928265,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230517,2023-05-17,100098.54319877457,301.66786074532325,0.004806259586018625,0.17042365167587759,-0.5909869541040277,0.4475308918210661,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230518,2023-05-18,100160.91326730413,301.5168598049865,0.00492298858306746,-0.008419732489197836,-0.1590834186833443,0.4510056215605638,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230519,2023-05-19,100148.5553492828,299.7217141688049,0.009881863423602658,-0.10326801886537329,0.16407337508560993,0.4739468230953553,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230520,2023-05-20,100069.24986206742,300.8411425255657,0.004107425020912947,0.20740901026706854,-0.20908035620400398,0.47102616025014693,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230521,2023-05-21,100145.09326735346,300.0049100262083,0.007728172168592406,0.11815121294515235,-0.2596480439153195,0.4727557573571831,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230522,2023-05-22,100163.53740408114,299.5759667328795,0.008460874015610197,-0.25302613436394783,0.304413587832941,0.4642973616799852,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230523,2023-05-23,100208.80217824268,300.52766635214755,0.0021497076560194036,-0.04565396969787544,0.2701577909406324,0.4583067113869694,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230524,2023-05-24,100245.4542701337,300.5390376118402,0.007825751650835924,0.20739410593899738,0.3958781719608998,0.46771768016702847,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230525,2023-05-25,100290.5377852445,300.34647316972234,0.0039207917680776465,0.1899693992679861,-0.20988065410597512,0.47822586024720326,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230526,2023-05-26,100301.99448058476,299.4299645977019,0.00856888652730151,-0.09880534360752409,-0.4840567221448376,0.48272736672384126,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230527,2023-05-27,100080.14474008577,300.1344293958222,0.009253346972024252,0.2832293475472393,-0.4373982650526644,0.481218925762211,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230528,2023-05-28,99995.55431713641,299.9757334891098,0.010085136465110235,-0.031899353735348655,-0.514943518250561,0.46493053103828835,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230529,2023-05-29,99963.6532696003,301.36709089195494,0.0023667164122718708,0.0739475795462923,-0.4766100239819641,0.461105558530888,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230530,2023-05-30,100010.49332083607,300.7121330441901,0.00375857052063681,-0.18362353333545314,-0.13359937786497106,0.46389352938549666,"{""type"":""MultiPoint"",""coordinates"":[]}"
