system:index,LST_Celsius,date,.geo
2017_12_11,29.81953733093701,2017-12-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_12_19,30.899252047652,2017-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_12_27,30.659639782755903,2017-12-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_01_01,29.683868769200842,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_01_09,31.15821747320456,2018-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_01_17,30.798569257401653,2018-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_01_25,30.595085828641118,2018-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_02_02,32.190689825395395,2018-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_02_10,31.236304236120645,2018-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_02_18,33.319636705442974,2018-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_02_26,33.72274419810333,2018-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_03_06,32.43280038740767,2018-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_03_14,33.074234734535764,2018-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_03_22,33.80043612482871,2018-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_03_30,32.454691657406954,2018-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_04_07,31.62073738497486,2018-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_04_15,31.741951787476353,2018-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_04_23,28.61547926791917,2018-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_05_01,30.4716024837723,2018-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_05_09,30.798423768976022,2018-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_05_17,29.86191313495658,2018-05-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_05_25,23.806875205434437,2018-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_06_02,29.547892022226847,2018-06-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_06_10,28.01894112679031,2018-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_06_18,26.48994392755236,2018-06-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_06_26,26.5960981264015,2018-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_07_04,26.5403187323505,2018-07-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_07_12,25.047342390026017,2018-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_07_20,,2018-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_07_28,27.34661398707624,2018-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_08_05,25.593049543495454,2018-08-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_08_13,,2018-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_08_21,26.80189593892601,2018-08-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_08_29,30.75948402360592,2018-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_09_06,31.704783995500463,2018-09-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_09_14,30.488921267579883,2018-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_09_22,32.52813791824019,2018-09-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_09_30,30.395714004957142,2018-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_10_08,30.301863430086485,2018-10-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_10_16,30.442571570667553,2018-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_10_24,30.751872626071076,2018-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_11_01,31.27174162841027,2018-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_11_09,30.773987662880188,2018-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_11_17,29.872180722622204,2018-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_11_25,30.448510009414292,2018-11-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_03,29.310435887436483,2018-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_11,28.823037681933556,2018-12-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_19,28.788091316443513,2018-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_27,29.73926000964127,2018-12-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_01,30.29753868290942,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_09,30.73609014159524,2019-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_17,29.426768584695424,2019-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_25,31.176494643351475,2019-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_02,31.7164422195537,2019-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_10,32.907143298332244,2019-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_18,32.429790154180296,2019-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_26,32.194048967770016,2019-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_06,31.71440491510515,2019-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_14,33.49790840236892,2019-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_22,33.88697356057446,2019-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_30,32.91343095282531,2019-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_07,33.60091627497485,2019-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_15,32.92344402440597,2019-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_23,30.58665427762844,2019-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_01,32.503530185021475,2019-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
